[30/Oct/2018 15:36:07] INFO [ce_availability.views:203] Calendar_filter
[30/Oct/2018 15:36:20] INFO [ce_availability.views:203] Calendar_filter
[30/Oct/2018 15:37:23] INFO [ce_availability.views:203] Calendar_filter
[30/Oct/2018 15:37:57] INFO [ce_availability.views:204] Calendar_filter access by xavier.urbiola
[30/Oct/2018 15:39:00] INFO [ce_availability.views:204] Calendar_filter access by xavier.urbiola
[30/Oct/2018 15:40:03] INFO [ce_availability.views:204] Views.py:calendar_filter access by xavier.urbiola
[30/Oct/2018 15:41:07] INFO [ce_availability.views:204] VIEWS.PY:calendar_filter access by xavier.urbiola
[30/Oct/2018 15:42:12] INFO [ce_availability.views:204] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:43:15] INFO [ce_availability.views:205] VIEWS.PY - CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:44:18] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:45:21] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:46:24] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:47:27] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:48:30] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:49:33] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:50:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:50:40] INFO [ce_availability.views:698] VIEWS.PY: INSERT_REGISTER new register inserted by xavier.urbiola
[30/Oct/2018 15:51:40] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:52:43] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR_FILTER accessed by xavier.urbiola
[30/Oct/2018 15:52:58] INFO [ce_availability.views:764] VIEWS.PY: new REGISTER inserted by xavier.urbiola
[30/Oct/2018 15:52:58] INFO [ce_availability.views:764] VIEWS.PY: new REGISTER inserted by xavier.urbiola
[30/Oct/2018 15:52:58] INFO [ce_availability.views:764] VIEWS.PY: new REGISTER inserted by xavier.urbiola
[30/Oct/2018 15:52:58] INFO [ce_availability.views:764] VIEWS.PY: new REGISTER inserted by xavier.urbiola
[30/Oct/2018 15:52:58] INFO [ce_availability.views:778] VIEWS.PY: new REGISTER inserted by xavier.urbiola
[30/Oct/2018 15:53:46] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by xavier.urbiola
[30/Oct/2018 15:53:49] INFO [ce_availability.views:83] VIEWS.PY: LIST accessed by xavier.urbiola
[30/Oct/2018 15:54:51] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by xavier.urbiola
[30/Oct/2018 15:55:54] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by xavier.urbiola
[30/Oct/2018 15:56:57] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by xavier.urbiola
